Background,Sex,Genotype,Vial,Temp,length
SAM,F,vg83b27,1,18,307.112
SAM,F,vg83b27,1,18,461.695
SAM,F,vg83b27,1,18,351.583
SAM,F,vg83b27,1,18,383.478
SAM,F,vg83b27,1,18,388.918
SAM,F,vg83b27,1,18,460.707
SAM,F,vg83b27,1,18,346.81
SAM,F,vg83b27,1,18,509.369
SAM,F,vg83b27,1,18,490.205
SAM,F,vg83b27,1,18,429.677
SAM,M,vg83b27,1,18,565.597
SAM,M,vg83b27,1,18,412.738
SAM,M,vg83b27,1,18,476.825
SAM,M,vg83b27,1,18,344.168
SAM,M,vg83b27,1,18,335.841
SAM,M,vg83b27,1,18,359.571
SAM,M,vg83b27,1,18,484.228
SAM,M,vg83b27,1,18,615.835
SAM,M,vg83b27,1,18,890.277
SAM,M,vg83b27,1,18,457.728
SAM,M,vg83b27,1,18,215.387
SAM,M,vg83b27,1,18,480.682
SAM,M,vg83b27,1,18,415.061
SAM,M,vg83b27,1,18,483.826
SAM,M,vg83b27,1,18,745.976
SAM,M,vg83b27,1,18,655.327
SAM,M,vg83b27,1,18,814.895
SAM,M,vg83b27,1,18,259.091
SAM,M,vg83b27,1,18,349.598
SAM,M,vg83b27,1,18,470.496
ORE,F,wt,1,28,2144.575
ORE,F,wt,1,28,2029.147
ORE,F,wt,1,28,2024.843
ORE,F,wt,1,28,2044.479
ORE,F,wt,1,28,2117.777
ORE,F,wt,1,28,2112.426
ORE,F,wt,1,28,2141.935
ORE,F,wt,1,28,2122.48
ORE,F,wt,1,28,2082.582
ORE,F,wt,1,28,2146.627
ORE,F,wt,1,28,2104.227
ORE,F,wt,1,28,2049.384
ORE,F,wt,1,28,2096.236
ORE,F,wt,1,28,2142.674
ORE,F,wt,1,28,2111.684
ORE,F,wt,1,28,2022.449
ORE,F,wt,1,28,2160.471
ORE,F,wt,1,28,2094.873
ORE,F,wt,1,28,2144.953
ORE,F,wt,1,28,2080.454
ORE,M,wt,1,28,1760.43
ORE,M,wt,1,28,1947.387
ORE,M,wt,1,28,1897.372
ORE,M,wt,1,28,1876.058
ORE,M,wt,1,28,1846.341
ORE,M,wt,1,28,1778.248
ORE,M,wt,1,28,1799.562
ORE,M,wt,1,28,1914.852
ORE,M,wt,1,28,1885.619
ORE,M,wt,1,28,1886.304
ORE,M,wt,1,28,1899.448
ORE,M,wt,1,28,1859.503
ORE,M,wt,1,28,1901.147
ORE,M,wt,1,28,1790.28
ORE,M,wt,1,28,1899.111
ORE,M,wt,1,28,1918.198
ORE,M,wt,1,28,1847.685
ORE,M,wt,1,28,1864.758
ORE,M,wt,1,28,1896.116
ORE,M,wt,1,28,1836.037
ORE,M,wt,1,28,1852.679
ORE,F,vg1,1,28,665.882
ORE,F,vg1,1,28,638.564
ORE,F,vg1,1,28,831.564
ORE,F,vg1,1,28,1001.748
ORE,F,vg1,1,28,751.138
ORE,F,vg1,1,28,662.79
ORE,F,vg1,1,28,622.658
ORE,F,vg1,1,28,665.629
ORE,F,vg1,1,28,684.909
ORE,F,vg1,1,28,715.986
ORE,F,vg1,1,28,670.917
ORE,F,vg1,1,28,594.665
ORE,F,vg1,1,28,648.716
ORE,F,vg1,1,28,672.596
ORE,F,vg1,1,28,613.636
ORE,F,vg1,1,28,646.753
ORE,F,vg1,1,28,718.489
ORE,F,vg1,1,28,626.61
ORE,F,vg1,1,28,722.429
ORE,M,vg1,1,28,708.509
ORE,M,vg1,1,28,750.87
ORE,M,vg1,1,28,699.015
ORE,M,vg1,1,28,587.721
ORE,M,vg1,1,28,582.507
ORE,M,vg1,1,28,612.916
ORE,M,vg1,1,28,670.724
ORE,M,vg1,1,28,714.945
ORE,M,vg1,1,28,679.808
ORE,M,vg1,1,28,579.863
ORE,M,vg1,1,28,513.504
ORE,M,vg1,1,28,603.84
ORE,M,vg1,1,28,664.587
ORE,M,vg1,1,28,561.64
ORE,M,vg1,1,28,636.349
ORE,M,vg1,1,28,667.03
ORE,M,vg1,1,28,683.974
ORE,M,vg1,1,28,641.76
ORE,M,vg1,1,28,806.25
ORE,M,vg1,1,28,723.883
ORE,F,vg83b27,1,28,223.072
ORE,F,vg83b27,1,28,246.754
ORE,F,vg83b27,1,28,363.712
ORE,F,vg83b27,1,28,215.193
ORE,F,vg83b27,1,28,306.184
ORE,F,vg83b27,1,28,304.921
ORE,F,vg83b27,1,28,294.934
ORE,F,vg83b27,1,28,453.018
ORE,F,vg83b27,1,28,294.95
ORE,F,vg83b27,1,28,308.178
ORE,F,vg83b27,1,28,251.78
ORE,F,vg83b27,1,28,397.75
ORE,F,vg83b27,1,28,295.122
ORE,F,vg83b27,1,28,287.715
ORE,F,vg83b27,1,28,280.589
ORE,F,vg83b27,1,28,240.8
ORE,F,vg83b27,1,28,312.527
ORE,F,vg83b27,1,28,353.628
ORE,F,vg83b27,1,28,323.416
ORE,F,vg83b27,1,28,423.113
ORE,M,vg83b27,1,28,350.292
ORE,M,vg83b27,1,28,301.928
ORE,M,vg83b27,1,28,350.984
ORE,M,vg83b27,1,28,297.183
ORE,M,vg83b27,1,28,443.422
ORE,M,vg83b27,1,28,315.662
ORE,M,vg83b27,1,28,363.96
ORE,M,vg83b27,1,28,227.26
ORE,M,vg83b27,1,28,202.146
ORE,M,vg83b27,1,28,236.852
ORE,M,vg83b27,1,28,325.468
ORE,M,vg83b27,1,28,268.784
ORE,M,vg83b27,1,28,409.314
ORE,M,vg83b27,1,28,256.319
ORE,M,vg83b27,1,28,350.657
ORE,M,vg83b27,1,28,339.853
ORE,M,vg83b27,1,28,354.758
ORE,M,vg83b27,1,28,372.206
ORE,M,vg83b27,1,28,223.278
ORE,M,vg83b27,1,28,615.274
ORE,F,wt,1,24,2276.322
ORE,F,wt,1,24,2356.566
ORE,F,wt,1,24,2345.336
ORE,F,wt,1,24,2399.528
ORE,F,wt,1,24,2224.967
ORE,F,wt,1,24,2327.255
ORE,F,wt,1,24,2297.099
ORE,F,wt,1,24,2432.951
ORE,F,wt,1,24,2179.065
ORE,F,wt,1,24,2379.017
ORE,F,wt,1,24,2184.368
ORE,F,wt,1,24,2120.699
ORE,F,wt,1,24,2317.314
ORE,F,wt,1,24,2212.78
ORE,F,wt,1,24,2130.572
ORE,F,wt,1,24,2301.992
ORE,F,wt,1,24,2202.612
ORE,F,wt,1,24,2212.354
ORE,F,wt,1,24,2186.796
ORE,F,wt,1,24,2303.382
ORE,M,wt,1,24,2179.809
ORE,M,wt,1,24,2137.53
ORE,M,wt,1,24,2117.322
ORE,M,wt,1,24,2062.115
ORE,M,wt,1,24,2051.331
ORE,M,wt,1,24,2128.795
ORE,M,wt,1,24,2040.495
ORE,M,wt,1,24,2113.94
ORE,M,wt,1,24,2059.449
ORE,M,wt,1,24,1983.006
ORE,M,wt,1,24,2080.268
ORE,M,wt,1,24,1990.974
ORE,M,wt,1,24,1930.409
ORE,M,wt,1,24,2063.387
ORE,M,wt,1,24,1916.451
ORE,M,wt,1,24,2138.94
ORE,M,wt,1,24,2190.027
ORE,M,wt,1,24,2075.325
ORE,M,wt,1,24,2040.394
ORE,M,wt,1,24,1961.508
ORE,F,vg1,1,24,679.39
ORE,F,vg1,1,24,687.748
ORE,F,vg1,1,24,696.653
ORE,F,vg1,1,24,708.033
ORE,F,vg1,1,24,735.555
ORE,F,vg1,1,24,643.637
ORE,F,vg1,1,24,709.076
ORE,F,vg1,1,24,596.33
ORE,F,vg1,1,24,626.827
ORE,F,vg1,1,24,555.566
ORE,F,vg1,1,24,494.28
ORE,F,vg1,1,24,594.396
ORE,F,vg1,1,24,627.848
ORE,F,vg1,1,24,604.701
ORE,F,vg1,1,24,621.305
ORE,F,vg1,1,24,738.753
ORE,F,vg1,1,24,691.766
ORE,F,vg1,1,24,720.634
ORE,F,vg1,1,24,639.675
ORE,F,vg1,1,24,668.042
ORE,F,vg1,1,24,771.877
ORE,M,vg1,1,24,607.199
ORE,M,vg1,1,24,711.065
ORE,M,vg1,1,24,633.05
ORE,M,vg1,1,24,683.365
ORE,M,vg1,1,24,593.416
ORE,M,vg1,1,24,661.743
ORE,M,vg1,1,24,866.133
ORE,M,vg1,1,24,656.511
ORE,M,vg1,1,24,647.696
ORE,M,vg1,1,24,623.782
ORE,M,vg1,1,24,526.026
ORE,M,vg1,1,24,617.555
ORE,M,vg1,1,24,701.711
ORE,M,vg1,1,24,653.013
ORE,M,vg1,1,24,560.771
ORE,M,vg1,1,24,651.702
ORE,M,vg1,1,24,707.193
ORE,M,vg1,1,24,700.573
ORE,M,vg1,1,24,629.579
ORE,M,vg1,1,24,620.781
ORE,M,vg1,1,24,594.105
ORE,F,vg83b27,1,24,306.795
ORE,F,vg83b27,1,24,237.864
ORE,F,vg83b27,1,24,361.609
ORE,F,vg83b27,1,24,494.154
ORE,F,vg83b27,1,24,698.829
ORE,F,vg83b27,1,24,472.58
ORE,F,vg83b27,1,24,395.582
ORE,F,vg83b27,1,24,298.92
ORE,F,vg83b27,1,24,444.26
ORE,F,vg83b27,1,24,690.662
ORE,F,vg83b27,1,24,519.571
ORE,F,vg83b27,1,24,313.9
ORE,F,vg83b27,1,24,350.615
ORE,F,vg83b27,1,24,783.804
ORE,F,vg83b27,1,24,360.957
ORE,F,vg83b27,1,24,244.174
ORE,F,vg83b27,1,24,228.912
ORE,F,vg83b27,1,24,224.467
ORE,F,vg83b27,1,24,331.163
ORE,F,vg83b27,1,24,381.763
ORE,M,vg83b27,1,24,509.364
ORE,M,vg83b27,1,24,301
ORE,M,vg83b27,1,24,284.296
ORE,M,vg83b27,1,24,433.346
ORE,M,vg83b27,1,24,268.759
ORE,M,vg83b27,1,24,701.325
ORE,M,vg83b27,1,24,421.586
ORE,M,vg83b27,1,24,230.812
ORE,M,vg83b27,1,24,399.252
ORE,M,vg83b27,1,24,204.42
ORE,M,vg83b27,1,24,529.638
ORE,M,vg83b27,1,24,366.7
ORE,M,vg83b27,1,24,225.084
ORE,M,vg83b27,1,24,487.486
ORE,M,vg83b27,1,24,393.92
ORE,M,vg83b27,1,24,203.888
ORE,M,vg83b27,1,24,275.779
ORE,M,vg83b27,1,24,293.536
ORE,M,vg83b27,1,24,315.53
ORE,M,vg83b27,1,24,471.434
ORE,F,wt,1,18,2481.146
ORE,F,wt,1,18,2463.665
ORE,F,wt,1,18,2613.764
ORE,F,wt,1,18,2430.982
ORE,F,wt,1,18,2406.396
ORE,F,wt,1,18,2389.68
ORE,F,wt,1,18,2514.369
ORE,F,wt,1,18,2470.653
ORE,F,wt,1,18,2510.604
ORE,F,wt,1,18,2459.274
ORE,F,wt,1,18,2428.645
ORE,F,wt,1,18,2570.671
ORE,F,wt,1,18,2586.446
ORE,F,wt,1,18,2522.667
ORE,F,wt,1,18,2412.373
ORE,F,wt,1,18,2540.493
ORE,F,wt,1,18,2491.798
ORE,F,wt,1,18,2517.672
ORE,F,wt,1,18,2576.098
ORE,F,wt,1,18,2446.372
ORE,M,wt,1,18,2138.358
ORE,M,wt,1,18,2284.705
ORE,M,wt,1,18,2304.424
ORE,M,wt,1,18,2264.778
ORE,M,wt,1,18,2504.783
ORE,M,wt,1,18,2276.98
ORE,M,wt,1,18,2291.706
ORE,M,wt,1,18,2186.529
ORE,M,wt,1,18,2205.066
ORE,M,wt,1,18,2306.445
ORE,M,wt,1,18,2336.626
ORE,M,wt,1,18,2271.198
ORE,M,wt,1,18,2284.626
ORE,M,wt,1,18,2281.621
ORE,M,wt,1,18,2306.765
ORE,M,wt,1,18,2299.228
ORE,M,wt,1,18,2262.622
ORE,M,wt,1,18,2295.194
ORE,M,wt,1,18,2292.385
ORE,M,wt,1,18,2333.895
ORE,F,vg1,1,18,675.559
ORE,F,vg1,1,18,609.365
ORE,F,vg1,1,18,772.796
ORE,F,vg1,1,18,656.543
