allele,Line,sex,individual,TotalArea,Semiqt_Raw,Semiqt_Num
sde3,357,M,1.tif,34.598,D,7
sde3,357,M,2.tif,34.283,E,6
sde3,357,M,3.tif,33.75,E,6
sde3,357,M,4.tif,23.817,E,6
sde3,357,M,5.tif,29.372,E,6
sde3,358,M,1.tif,38.203,D,7
sde3,358,M,2.tif,40.572,D,7
sde3,358,M,3.tif,40.096,D,7
sde3,358,M,4.tif,34.983,D,7
sde3,358,M,5.tif,34.573,D,7
sde3,358,M,6.tif,35.429,D,7
sde3,360,M,1.tif,37.988,D,7
sde3,360,M,2.tif,38.702,D,7
sde3,360,M,3.tif,31.021,D,7
sde3,360,M,4.tif,33.262,D,7
sde3,360,M,5.tif,38.435,D,7
sde3,360,M,6.tif,38.484,D,7
sde3,362,M,1.tif,30.15,D,7
sde3,362,M,2.tif,34.731,D,7
sde3,362,M,5.tif,34.316,D,7
sde3,362,M,6.tif,41.984,D,7
sde3,365,M,1.tif,41.36,D,7
sde3,365,M,2.tif,39.121,C,8
sde3,365,M,3.tif,32.07,D,7
sde3,365,M,4.tif,36.804,D,7
sde3,365,M,5.tif,38.875,D,7
sde3,365,M,6.tif,37.607,D,7
sde3,375,M,1.tif,43.18,D,7
sde3,375,M,2.tif,41.931,D,7
sde3,375,M,3.tif,34.795,D,7
sde3,375,M,4.tif,33.941,E,6
sde3,375,M,5.tif,39.004,D,7
sde3,375,M,6.tif,43.905,D,7
sde3,379,M,1.tif,33.936,D,7
sde3,379,M,2.tif,36.628,D,7
sde3,379,M,3.tif,39.986,D,7
sde3,379,M,4.tif,28.978,D,7
sde3,379,M,5.tif,32.863,D,7
sde3,379,M,6.tif,27.188,D,7
sde3,380,M,10.tif,22.98,E,6
sde3,380,M,11-1.tif,22.742,F,5
sde3,380,M,5.tif,29.754,E,6
sde3,380,M,7.tif,24.871,E,6
sde3,380,M,8.tif,26.832,F,5
sde3,380,M,9.tif,28.59,F,5
sde3,399,M,10.tif,29.475,D,7
sde3,399,M,11.tif,31.231,D,7
sde3,399,M,12.tif,40.152,D,7
sde3,399,M,13.tif,21.956,E,6
sde3,399,M,7.tif,30.336,E,6
sde3,399,M,9.tif,31.578,E,6
